,FSV,M,g,l,max_delta,max_ll,max_mu_hat,max_s2_t_hat,model,n,s2_FSV,s2_logdelta,time,BIC,max_ll_null,LLR,pval,qval
809,0.0810351383946109,4,TMBIM6,679.1778518272397,11.142785790701216,-6072.4930389887795,-6.075030616207881,0.4698924339754276,SE,4778,7.584005059437157e-06,0.001156880151778242,0.014273881912231445,12178.873187289102,-6165.909516302672,93.41647731389276,0.0,0.0
810,0.05206894647301902,4,TMEM115,679.1778518272397,17.888182390949584,-6199.521147331655,-6.877908008628561,0.5228384315782009,SE,4778,6.500046420159203e-06,0.0021445743514372224,0.013403177261352539,12432.929403974853,-6255.618057900866,56.096910569211104,6.894484982922222e-14,4.0263684930439305e-15
811,0.4056775727758264,4,TMEM123,679.1778518272397,1.43949239289102,-5697.086948347207,-9.989870033023843,1.6769487080918315,SE,4778,1.1662969958243056e-05,0.00023131966397437975,0.004675865173339844,11428.061006005957,-6375.566816435747,678.4798680885397,0.0,0.0
812,0.10157784602447871,4,C2orf68,679.1778518272397,8.690598924893415,-5938.320175582118,-7.4985490671326,0.7157613266706114,SE,4778,9.86891352217229e-06,0.0010365218519860417,0.0047304630279541016,11910.52746047578,-6043.536592124976,105.21641654285759,0.0,0.0
813,0.1270382238720762,4,NT5DC2,679.1778518272397,6.751947689366734,-5338.048421301833,-7.449643435825556,0.7245306078472741,SE,4778,1.3919223861350921e-05,0.0010287739023335353,0.0050449371337890625,10709.983951915208,-5458.963601541626,120.9151802397937,0.0,0.0
814,0.12332810092967651,4,HRAS,679.1778518272397,6.9846282481224184,-5838.490979703573,-8.538410537476112,0.9396638053838022,SE,4778,1.0325794824131659e-05,0.0007986278667130932,0.004747629165649414,11710.86906871869,-6003.229474536591,164.73849483301728,0.0,0.0
815,0.09889967657246754,4,STK35,679.1778518272397,8.952545325767394,-6061.48760235285,-7.472637816683555,0.7108660367120931,SE,4778,8.363401439467657e-06,0.0009172232306383761,0.004734516143798828,12156.862314017244,-6189.945811864427,128.45820951157657,0.0,0.0
816,0.1984691794950916,4,SELENOK,679.1778518272397,3.96821693798857,-5739.519593638317,-8.666967839526674,1.0682112654382436,SE,4778,1.1201375356506502e-05,0.0004408162249528962,0.0052242279052734375,11512.926296588177,-6065.686804922551,326.1672112842343,0.0,0.0
817,0.26696741765776283,4,AP1S1,679.1778518272397,2.6979461216919,-5745.321200135137,-9.577861254697972,1.3665971629709222,SE,4778,1.2984043227590166e-05,0.0003609332619295003,0.005102396011352539,11524.529509581816,-6163.698706598472,418.3775064633355,0.0,0.0
818,0.49931456801943924,4,MMP11,679.1778518272397,0.9852784234446751,-6339.286524580566,-7.3738623985904885,1.4453700284915907,SE,4778,1.0662999033938027e-05,0.00019972685283634154,0.004268646240234375,12712.460158472675,-8000.48058743576,1661.1940628551938,0.0,0.0
819,0.12183114590693558,4,DHX36,679.1778518272397,7.082522374025,-5569.434734122648,-8.270212588661979,0.8752501004345563,SE,4778,9.140018438133533e-06,0.0007203425229134734,0.0049021244049072266,11172.756577556838,-5734.858080144933,165.42334602228584,0.0,0.0
820,0.08566130089813176,4,CMC1,679.1778518272397,10.487951980419775,-6094.442847642452,-6.024306040558827,0.47102820162202447,SE,4778,1.015416125323619e-05,0.0014110847528804515,0.0077571868896484375,12222.772804596447,-6183.264390571287,88.82154292883479,0.0,0.0
821,0.056425541546737505,4,MSL1,679.1778518272397,16.43117778788082,-5633.832987353575,-7.471629562276895,0.6126567661492349,SE,4778,6.535370391052367e-06,0.0018679830478384076,0.015493154525756836,11301.553084018693,-5693.264984364907,59.43199701133199,1.2656542480726785e-14,7.447215346117556e-16
822,0.13986480221368253,4,TRIP12,679.1778518272397,6.042637459255616,-4778.465089604385,-8.096464316455917,0.8409972799541512,SE,4778,8.467471572642054e-06,0.0005415633206570401,0.005243062973022461,9590.817288520313,-5004.167929343283,225.70283973889764,0.0,0.0
823,0.2497402573759489,4,DNM2,679.1778518272397,2.9518300053453634,-4663.445331443338,-8.467110138698525,1.019881680174692,SE,4778,1.031040283020159e-05,0.0003080017304001482,0.004801511764526367,9360.777772198218,-5118.097558136771,454.6522266934335,0.0,0.0
824,0.26009116340983,4,CAPN1,679.1778518272397,2.7952513828435746,-5207.580501434355,-9.289264845198824,1.246233384856329,SE,4778,1.2675923453446726e-05,0.0003622580645768143,0.004921913146972656,10449.048112180253,-5601.159015338759,393.57851390440374,0.0,0.0
825,0.12347678266253372,4,ATP6V0A1,679.1778518272397,6.975034716324317,-6138.166119620588,-7.046534946850898,0.6815558071520283,SE,4778,1.1644456203394486e-05,0.0008989499757661176,0.004781246185302734,12310.219348552719,-6282.273433619265,144.10731399867745,0.0,0.0
826,0.1966486675410622,4,PLXNA3,679.1778518272397,4.0140498769907955,-5848.474269510443,-8.225073671020263,0.9817631785137927,SE,4778,1.1073262422267973e-05,0.0004409700272413659,0.005343914031982422,11730.83564833243,-6111.43643972477,262.96217021432676,0.0,0.0
827,0.160113966318237,4,TSG101,679.1778518272397,5.154177821495951,-5831.818143117882,-8.323461346358075,0.951227672183033,SE,4778,1.1929625169208772e-05,0.0006273662031497526,0.0048983097076416016,11697.523395547307,-6018.522649146442,186.70450602856,0.0,0.0
828,0.20579469238552478,4,C6orf62,679.1778518272397,3.7919872602140225,-5471.237780164229,-8.834073741297486,1.096850603789951,SE,4778,1.1351422417466832e-05,0.0004266116657043561,0.00552821159362793,10976.36266964,-5784.803870079776,313.5660899155473,0.0,0.0
829,0.17163079556257402,4,COX6C,679.1778518272397,4.742386916364087,-5579.786602880419,-8.85502298980263,1.0637654812200465,SE,4778,9.939313302351237e-06,0.00047448659879361054,0.0054128170013427734,11193.460315072381,-5836.890632337169,257.10402945675014,0.0,0.0
830,0.11669001045576362,4,B4GALT5,679.1778518272397,7.437855169508398,-5236.091048012874,-8.284099067578257,0.8601085187998634,SE,4778,8.237970473145146e-06,0.0006941863829483958,0.0046939849853515625,10506.069205337291,-5406.793333761381,170.70228574850717,0.0,0.0
831,0.30850628089608395,4,GAS1,679.1778518272397,2.202381162099311,-6533.053883145566,-4.012902026586722,0.5747479033186262,SE,4778,1.2860492345670288e-05,0.00031041754077499407,0.004901409149169922,13099.994875602675,-7178.99993791234,645.9460547667741,0.0,0.0
